/* DATA DESCRIPTION:
Citation:	Asmus, Ragnhild; Asmus, Harald (2016): Phytoplankton primary production at Koenigshafen, List/Sylt, in 2014. Alfred Wegener Institute - Wadden Sea Station Sylt, PANGAEA, https://doi.org/10.1594/PANGAEA.860613
Project(s):	Long-term Ecological Research at AWI (LTER) (URI: http://www.awi.de/en/science/biosciences/functional-ecology.html)
Coverage:	LATITUDE: 55.033100 * LONGITUDE: 8.438100
	DATE/TIME START: 2014-02-10T00:00:00 * DATE/TIME END: 2014-12-03T00:00:00
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 0 m
Event(s):	List_Koenigshafen * LATITUDE: 55.033100 * LONGITUDE: 8.438100 * LOCATION: German Bight Wadden Sea * CAMPAIGN: Long-term time series Sylt * METHOD/DEVICE: Multiple investigations (MULT)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Temperature, water [°C] (Temp) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Chlorophyll total [mg/m**3] (Chl tot) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Biomass as carbon per volume [µg/l] (Biom C) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Net primary production of oxygen [µmol/l/h] (NPP O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Respiration rate, oxygen [µmol/l/h] (Resp O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Gross primary production of oxygen [µmol/l/h] (GPP O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Gross primary production of carbon [mg/l/h] (GPP C) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Net production of Carbon, organic, dissolved + particulate [mg/l/h] (NP DOC+POC) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	128 data points
*/
Date/Time	Depth water [m]	Temp [°C]	Chl tot [mg/m**3]	Biom C [µg/l]	NPP O2 [µmol/l/h]	Resp O2 [µmol/l/h]	GPP O2 [µmol/l/h]	GPP C [mg/l/h]	NP DOC+POC [mg/l/h]
2014-02-10	0	3.20	25.99	1299.3	0.4656	-0.8625	1.3281	0.0136	0.0048
2014-02-26	0	4.80	4.11	205.5	2.3469	0.0000	2.3469	0.0240	0.0240
2014-03-12	0	5.50	3.14	156.8	0.6281	-1.0750	1.7000	0.0174	0.0064
2014-03-28	0	8.40	12.17	608.4	3.5156	-0.9719	4.4875	0.0460	0.0360
2014-04-10	0	8.40	5.54	276.8	2.0188	-3.3250	5.3438	0.0547	0.0207
2014-04-25	0	11.30	15.04	752.1	10.3188	-1.3688	11.6875	0.1197	0.1057
2014-05-12	0	12.90	11.06	553.2	3.0031	-1.3906	4.3906	0.0450	0.0307
2014-06-11	0	19.80	2.50	124.9	0.7063	-1.0594	1.7656	0.0181	0.0072
2014-06-23	0	13.80	7.41	370.5	3.7000	-0.5375	4.2375	0.0434	0.0379
2014-07-23	0	22.10	4.58	229.0	3.4906	-0.8813	4.3719	0.0448	0.0357
2014-08-08	0	21.40	3.98	199.2	3.5375	-0.1063	3.6438	0.0373	0.0362
2014-08-20	0	15.60	7.73	386.3	3.8438	-0.3844	4.2281	0.0433	0.0394
2014-09-19	0	17.40	8.92	445.8	8.1469	-0.6750	8.8219	0.0903	0.0834
2014-10-06	0	15.10	10.22	510.9	6.7281	0.0000	6.7281	0.0689	0.0689
2014-11-03	0	12.40	10.62	531.0	0.9750	-0.1000	1.0750	0.0110	0.0100
2014-12-03	0	3.90	2.73	136.5	0.4344	-0.1406	0.5750	0.0059	0.0044
