/* DATA DESCRIPTION:
Citation:	Asmus, Ragnhild; Asmus, Harald (2016): Phytoplankton primary production at Koenigshafen, List/Sylt, in 2008. Alfred Wegener Institute - Wadden Sea Station Sylt, PANGAEA, https://doi.org/10.1594/PANGAEA.860607
Project(s):	Long-term Ecological Research at AWI (LTER) (URI: http://www.awi.de/en/science/biosciences/functional-ecology.html)
Coverage:	LATITUDE: 55.033100 * LONGITUDE: 8.438100
	DATE/TIME START: 2008-01-05T00:00:00 * DATE/TIME END: 2008-12-10T00:00:00
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 0 m
Event(s):	List_Koenigshafen * LATITUDE: 55.033100 * LONGITUDE: 8.438100 * LOCATION: German Bight Wadden Sea * CAMPAIGN: Long-term time series Sylt * METHOD/DEVICE: Multiple investigations (MULT)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Temperature, water [°C] (Temp) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Chlorophyll total [mg/m**3] (Chl tot) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Biomass as carbon per volume [µg/l] (Biom C) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Net primary production of oxygen [µmol/l/h] (NPP O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Respiration rate, oxygen [µmol/l/h] (Resp O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Gross primary production of oxygen [µmol/l/h] (GPP O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Gross primary production of carbon [mg/l/h] (GPP C) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Net production of Carbon, organic, dissolved + particulate [mg/l/h] (NP DOC+POC) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	174 data points
*/
Date/Time	Depth water [m]	Temp [°C]	Chl tot [mg/m**3]	Biom C [µg/l]	NPP O2 [µmol/l/h]	Resp O2 [µmol/l/h]	GPP O2 [µmol/l/h]	GPP C [mg/l/h]	NP DOC+POC [mg/l/h]
2008-01-05	0	2.10	6.64	331.9	0.4344	0.0000	0.4344	0.0044	0.0044
2008-01-21	0	6.30	4.74	237.1	0.5469	0.0000	0.5469	0.0056	0.0056
2008-02-04	0	3.80	5.80	289.9	-1.0438	0.0000	-1.0438	-0.0107	-0.0107
2008-02-18	0	6.60	6.28	314.0	-0.0813	-0.0344	-0.0469	-0.0005	-0.0008
2008-03-04	0	4.70	10.81	540.5	1.6438	-0.5219	2.1656	0.0222	0.0168
2008-03-18	0	5.30	7.90	394.8	0.8500	0.0000	0.8500	0.0087	0.0087
2008-04-01	0	6.50	12.88	643.8	4.5531	-0.3875	4.9406	0.0506	0.0466
2008-04-15	0	8.60	6.62	330.8	1.7438	-0.0188	1.7594	0.0180	0.0178
2008-05-02	0	14.10	1.83	91.7	1.0406	-0.1844	1.2250	0.0125	0.0107
2008-05-14	0		5.96	298.1	-5.8406	-9.6656	3.8281	0.0392	-0.0598
2008-06-02	0	19.70	5.81	290.4	4.2500	0.0000	4.2500	0.0435	0.0435
2008-06-16	0		5.27	263.7	1.5750	0.0000	1.5750	0.0161	0.0161
2008-07-01	0	18.80	1.86	93.1	1.1594	-0.3031	1.4625	0.0150	0.0119
2008-07-15	0	18.70	2.85	142.6	2.2563	-0.2156	2.4719	0.0253	0.0231
2008-07-29	0	20.60	12.58	629.0	7.1125	-0.7750	7.8875	0.0808	0.0728
2008-08-13	0	17.50	12.23	611.7	2.9125	-0.4188	3.3313	0.0341	0.0298
2008-08-27	0	18.50	2.68	134.2	1.5969	-0.0156	1.6125	0.0165	0.0163
2008-09-11	0	16.60	5.05	252.5	2.5594	-0.1656	2.7250	0.0279	0.0262
2008-09-26	0	14.70	1.24	61.8	0.2656	0.0875	0.1781	0.0018	0.0027
2008-10-10	0	12.60	1.55	77.6	0.5313	0.0000	0.5313	0.0054	0.0054
2008-10-23	0	11.40	13.32	665.9	-0.1219	-0.2219	0.1000	0.0010	-0.0012
2008-12-10	0	5.40	3.40	169.9	-0.5000	-0.3563	-0.1438	-0.0015	-0.0051
