/* DATA DESCRIPTION:
Citation:	Asmus, Ragnhild; Asmus, Harald (2016): Phytoplankton primary production at Koenigshafen, List/Sylt, in 2013. Alfred Wegener Institute - Wadden Sea Station Sylt, PANGAEA, https://doi.org/10.1594/PANGAEA.860612
Project(s):	Long-term Ecological Research at AWI (LTER) (URI: http://www.awi.de/en/science/biosciences/functional-ecology.html)
Coverage:	LATITUDE: 55.033100 * LONGITUDE: 8.438100
	DATE/TIME START: 2013-01-09T00:00:00 * DATE/TIME END: 2013-12-14T00:00:00
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 0 m
Event(s):	List_Koenigshafen * LATITUDE: 55.033100 * LONGITUDE: 8.438100 * LOCATION: German Bight Wadden Sea * CAMPAIGN: Long-term time series Sylt * METHOD/DEVICE: Multiple investigations (MULT)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Temperature, water [°C] (Temp) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Chlorophyll total [mg/m**3] (Chl tot) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Biomass as carbon per volume [µg/l] (Biom C) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Net primary production of oxygen [µmol/l/h] (NPP O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Respiration rate, oxygen [µmol/l/h] (Resp O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Gross primary production of oxygen [µmol/l/h] (GPP O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Gross primary production of carbon [mg/l/h] (GPP C) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Net production of Carbon, organic, dissolved + particulate [mg/l/h] (NP DOC+POC) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	130 data points
*/
Date/Time	Depth water [m]	Temp [°C]	Chl tot [mg/m**3]	Biom C [µg/l]	NPP O2 [µmol/l/h]	Resp O2 [µmol/l/h]	GPP O2 [µmol/l/h]	GPP C [mg/l/h]	NP DOC+POC [mg/l/h]
2013-01-09	0	5.30	2.46	122.8	0.0438	-0.7469	0.7875	0.0081	0.0004
2013-03-08	0	1.80	16.95	847.4	3.8281	-0.6344	4.4625	0.0457	0.0392
2013-03-21	0		5.65	282.3					
2013-04-06	0	0.90	10.94	546.8	0.8313	-0.9781	1.8125	0.0186	0.0085
2013-05-06	0	11.80	11.07	553.7	2.7750	-0.7750	3.5500	0.0363	0.0284
2013-05-22	0	12.10	38.20	1910.0	5.7063	-0.9750	6.6813	0.0684	0.0584
2013-06-03	0	13.00	21.48	1073.8	7.3219	-0.9875	8.3063	0.0851	0.0750
2013-06-17	0	14.40	5.43	271.3	2.3906	-1.0750	3.4656	0.0355	0.0245
2013-07-03	0	15.50	5.13	256.6	2.7313	-0.1906	2.9219	0.0299	0.0280
2013-07-19	0	18.10	3.38	168.9	2.3563	-0.5438	2.9000	0.0297	0.0241
2013-08-01	0	21.20	3.47	173.5	0.6063	-0.4688	1.0750	0.0110	0.0062
2013-08-20	0	18.10	3.56	177.9	1.3344	-0.0500	1.3813	0.0142	0.0137
2013-09-11	0	19.90			3.0406	-1.4281	4.4688	0.0458	0.0311
2013-09-16	0	13.90	24.65	1232.4	-0.4625	-1.0938	0.6313	0.0065	-0.0047
2013-10-31	0	12.40	10.93	546.5	1.3063				0.0134
2013-11-13	0	8.70	10.83	541.5	1.2031	-0.2500	1.4500	0.0149	0.0123
2013-12-01	0	6.30	14.34	717.0	1.8938				0.0194
2013-12-14	0	7.80	18.08	904.0	0.2438	-1.3844	1.6313	0.0167	0.0025
