/* DATA DESCRIPTION:
Citation:	Asmus, Ragnhild; Asmus, Harald (2016): Phytoplankton primary production at Koenigshafen, List/Sylt, in 2009. Alfred Wegener Institute - Wadden Sea Station Sylt, PANGAEA, https://doi.org/10.1594/PANGAEA.860608
Project(s):	Long-term Ecological Research at AWI (LTER) (URI: http://www.awi.de/en/science/biosciences/functional-ecology.html)
Coverage:	LATITUDE: 55.033100 * LONGITUDE: 8.438100
	DATE/TIME START: 2009-01-22T00:00:00 * DATE/TIME END: 2009-12-29T00:00:00
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 0 m
Event(s):	List_Koenigshafen * LATITUDE: 55.033100 * LONGITUDE: 8.438100 * LOCATION: German Bight Wadden Sea * CAMPAIGN: Long-term time series Sylt * METHOD/DEVICE: Multiple investigations (MULT)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Temperature, water [°C] (Temp) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Chlorophyll total [mg/m**3] (Chl tot) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Biomass as carbon per volume [µg/l] (Biom C) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Net primary production of oxygen [µmol/l/h] (NPP O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Respiration rate, oxygen [µmol/l/h] (Resp O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Gross primary production of oxygen [µmol/l/h] (GPP O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Gross primary production of carbon [mg/l/h] (GPP C) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Net production of Carbon, organic, dissolved + particulate [mg/l/h] (NP DOC+POC) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	184 data points
*/
Date/Time	Depth water [m]	Temp [°C]	Chl tot [mg/m**3]	Biom C [µg/l]	NPP O2 [µmol/l/h]	Resp O2 [µmol/l/h]	GPP O2 [µmol/l/h]	GPP C [mg/l/h]	NP DOC+POC [mg/l/h]
2009-01-22	0	3.90	6.15	307.5	0.2531	0.0000	0.2531	0.0026	0.0026
2009-02-06	0	3.50	2.09	104.3	0.2781	0.0000	0.2781	0.0028	0.0028
2009-02-20	0	4.10	3.08	154.0	-0.3406	-0.0500	-0.2938	-0.0030	-0.0035
2009-03-09	0	6.00	2.03	101.8	0.5500	0.0000	0.5500	0.0056	0.0056
2009-03-24	0	5.70	44.91	2245.4	9.7719	-1.5969	11.3688	0.1164	0.1001
2009-04-06	0	8.60	31.40	1570.0	8.9344	-1.1125	10.0469	0.1029	0.0915
2009-04-21	0	12.00	7.52	376.1	3.0125	-1.7219	4.7344	0.0485	0.0309
2009-05-05	0	11.90	11.38	569.0	4.8625	-0.3938	5.2531	0.0538	0.0498
2009-05-20	0	13.90	7.96	398.0	4.8906	-0.6438	5.5313	0.0567	0.0501
2009-06-03	0	12.80	37.97	1898.6	4.5688	-1.5750	6.1438	0.0629	0.0468
2009-06-19	0	14.30	6.08	303.8	1.1594	-0.3750	1.5344	0.0157	0.0119
2009-07-03	0	21.80	4.83	241.3	5.4656	-0.6031	6.0688	0.0621	0.0560
2009-07-20	0	17.60	2.05	102.4	1.3219	-0.1875	1.5094	0.0155	0.0135
2009-07-31	0	17.90	1.77	88.7	0.8156	-0.3625	1.1750	0.0120	0.0083
2009-08-17	0	17.50	3.04	151.8	0.5813	-0.5344	1.1156	0.0114	0.0059
2009-09-01	0	17.30	12.32	616.2	1.8094	-0.4656	2.2750	0.0233	0.0185
2009-09-15	0	14.00	21.96	1098.0	4.5563	-0.8188	5.3719	0.0550	0.0466
2009-09-29	0	15.20	7.42	371.2	0.9313	-0.1000	1.0344	0.0106	0.0096
2009-10-14	0	8.70	6.33	316.4	0.2156	-0.2656	0.4813	0.0049	0.0022
2009-10-30	0	9.80	11.21	560.3	1.9406	-0.2125	2.1531	0.0220	0.0199
2009-11-13	0	8.20	10.48	523.8	0.2156	0.0000	0.2156	0.0022	0.0022
2009-12-13	0	3.10	11.06	553.0	0.5781	-0.0938	0.6719	0.0069	0.0059
2009-12-29	0	0.50	4.63	231.4	0.1438	-0.5656	0.7094	0.0073	0.0015
